카테고리,상품명,제조사,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
도시락,로제맛 닭가슴살 도시락,농업회사법인(주)별담푸드,125,15.5,8.9,3.0,223.0
도시락,토마토미트볼과쿠스쿠스비건도시락,(주)이에스그린푸드,133,23.33,4.17,2.5,250.0
도시락,케이준포케도시락,(주)우리델리카,157,21.13,5.36,5.65,271.0
도시락,고추장제육불고기도시락,(주)그린키친,167,23.76,7.55,4.61,286.0
도시락,랠리 흑미곤약도시락 닭가슴살소시지,㈜한국푸드씨스템,113,11.7,6.79,4.53,304.0
도시락,알찬도시락,(주)삼영데리카후레쉬,165,25.68,6.49,4.05,321.0
도시락,LA갈비특선도시락,(주)청미,156,22.15,7.5,4.15,340.0
도시락,정찬도시락,아주푸드,168,27.25,8.25,3.0,358.0
도시락,슈프림양념치킨도시락,(주)한국데리카후레쉬,181,19.49,5.64,8.97,380.0
도시락,이달의도시락(설명절편),(주)삼영데리카후레쉬,188,27.75,5.77,5.95,409.0
도시락,추억의도시락삼각,롯데부산CK주식회사,186,34.55,4.55,3.36,455.0
도시락,옛날도시락 비빔밥,집반찬연구소,189,17.0,9.0,9.0,936.0
밥류(컵밥/덮밥/볶음밥),양송이하이라이스덮밥,다원푸드서비스(주) 쉐프랑,101,15.73,4.94,1.57,0.0
